arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,cout,cin_cout_2d,16,0.007258,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,cout,cin_cout_2d,16,0.054329,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,cout,cin_cout_2d,16,0.161687,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,cout,cin_cout_2d,16,0.001282,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,cout,cin_cout_2d,16,0.053119,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,cout,cin_cout_2d,16,0.405506,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,cout,cin_cout_2d,16,0.000708,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,cout,cin_cout_2d,16,0.038310,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,cout,cin_cout_2d,16,0.489720,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,16384,cout,cin_cout_2d,16,0.955344,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,32768,cout,cin_cout_2d,16,0.988086,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,65536,cout,cin_cout_2d,16,0.988086,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,cout,cin_cout_2d,32,0.188285,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,cout,cin_cout_2d,32,0.199969,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,cout,cin_cout_2d,32,0.270361,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,cout,cin_cout_2d,32,0.187948,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,cout,cin_cout_2d,32,0.192200,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,cout,cin_cout_2d,32,0.299008,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,cout,cin_cout_2d,32,0.187948,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,cout,cin_cout_2d,32,0.191927,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,cout,cin_cout_2d,32,0.281953,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,16384,cout,cin_cout_2d,32,0.951311,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,32768,cout,cin_cout_2d,32,0.994034,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,65536,cout,cin_cout_2d,32,0.994034,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,cout,cin_cout_2d,64,0.416845,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,cout,cin_cout_2d,64,0.417942,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,cout,cin_cout_2d,64,0.439406,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,cout,cin_cout_2d,64,0.416841,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,cout,cin_cout_2d,64,0.416969,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,cout,cin_cout_2d,64,0.426940,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,cout,cin_cout_2d,64,0.416841,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,cout,cin_cout_2d,64,0.416845,5
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,cout,cin_cout_2d,64,0.423621,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,16384,cout,cin_cout_2d,64,0.901128,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,32768,cout,cin_cout_2d,64,0.997017,5
loas,vgg16_T4_all,layer_03_features_10,fully_associative,0,65536,cout,cin_cout_2d,64,0.997017,5
