arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,resnet19_T4_all,layer_04_layer1_1_conv1,fully_associative,0,65536,cout,cout_only,32,0.992483,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cout,cout_only,64,0.013047,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,cout,cout_only,64,0.076219,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,cout,cout_only,64,0.201423,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,cout,cout_only,64,0.004314,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,cout,cout_only,64,0.113436,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,cout,cout_only,64,0.495797,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,cout,cout_only,64,0.002738,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,cout,cout_only,64,0.111295,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,cout,cout_only,64,0.567477,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,fully_associative,0,16384,cout,cout_only,64,0.081101,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,fully_associative,0,32768,cout,cout_only,64,0.624986,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,fully_associative,0,65536,cout,cout_only,64,0.954763,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,cout,cout_only,16,0.032823,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,cout,cout_only,16,0.117101,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,cout,cout_only,16,0.238377,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,cout,cout_only,16,0.025461,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,cout,cout_only,16,0.235763,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,cout,cout_only,16,0.583712,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,cout,cout_only,16,0.018699,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,cout,cout_only,16,0.273620,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,cout,cout_only,16,0.644406,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,fully_associative,0,16384,cout,cout_only,16,0.946748,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,fully_associative,0,32768,cout,cout_only,16,0.978971,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,fully_associative,0,65536,cout,cout_only,16,0.978971,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,cout,cout_only,32,0.033001,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,cout,cout_only,32,0.117492,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,cout,cout_only,32,0.239561,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,cout,cout_only,32,0.025613,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,cout,cout_only,32,0.236151,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,cout,cout_only,32,0.585130,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,cout,cout_only,32,0.018850,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,cout,cout_only,32,0.274003,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,cout,cout_only,32,0.645732,5
loas,resnet19_T4_all,layer_05_layer1_1_conv2,fully_associative,0,16384,cout,cout_only,32,0.679523,5
