arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,16,65536,cout,cin_cout_2d,32,0.876573,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,32,16384,cout,cin_cout_2d,32,0.124104,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,32,32768,cout,cin_cout_2d,32,0.464542,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,32,65536,cout,cin_cout_2d,32,0.918996,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,fully_associative,0,16384,cout,cin_cout_2d,32,0.941835,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,fully_associative,0,32768,cout,cin_cout_2d,32,0.988644,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,fully_associative,0,65536,cout,cin_cout_2d,32,0.988644,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,4,16384,cout,cin_cout_2d,64,0.258037,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,4,32768,cout,cin_cout_2d,64,0.330859,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,4,65536,cout,cin_cout_2d,64,0.830168,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,16,16384,cout,cin_cout_2d,64,0.253903,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,16,32768,cout,cin_cout_2d,64,0.349317,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,16,65536,cout,cin_cout_2d,64,0.858451,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,32,16384,cout,cin_cout_2d,64,0.251547,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,32,32768,cout,cin_cout_2d,64,0.340583,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,set_associative,32,65536,cout,cin_cout_2d,64,0.907146,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,fully_associative,0,16384,cout,cin_cout_2d,64,0.933231,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,fully_associative,0,32768,cout,cin_cout_2d,64,0.994322,5
loas,resnet19_T4_all,layer_02_layer1_0_conv2,fully_associative,0,65536,cout,cin_cout_2d,64,0.994322,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,16384,cout,cin_cout_2d,16,0.271467,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,32768,cout,cin_cout_2d,16,0.464099,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,65536,cout,cin_cout_2d,16,0.862069,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,16384,cout,cin_cout_2d,16,0.417131,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,32768,cout,cin_cout_2d,16,0.757513,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,65536,cout,cin_cout_2d,16,0.930311,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,16384,cout,cin_cout_2d,16,0.455898,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,32768,cout,cin_cout_2d,16,0.839730,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,65536,cout,cin_cout_2d,16,0.981818,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,16384,cout,cin_cout_2d,16,0.995315,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,32768,cout,cin_cout_2d,16,0.995315,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,65536,cout,cin_cout_2d,16,0.995315,5
