arch_config,workload,layer,sample_idx,cache_type,associativity,l1_size_bytes,l2_size_bytes,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,overall_hit_rate,n_cores
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,16384,524288,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,16384,1048576,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,32768,131072,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,32768,262144,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,32768,524288,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,32768,1048576,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,16384,131072,969280,3730560,0.2598215817464402,2752640,2761280,0.996871016340248,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,16384,262144,969280,3730560,0.2598215817464402,2752640,2761280,0.996871016340248,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,16384,524288,969280,3730560,0.2598215817464402,2752640,2761280,0.996871016340248,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,16384,1048576,969280,3730560,0.2598215817464402,2752640,2761280,0.996871016340248,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,32768,131072,1156736,3730560,0.31007033796534567,2565184,2573824,0.9966431271135866,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,32768,262144,1156736,3730560,0.31007033796534567,2565184,2573824,0.9966431271135866,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,32768,524288,1156736,3730560,0.31007033796534567,2565184,2573824,0.9966431271135866,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,32,32768,1048576,1156736,3730560,0.31007033796534567,2565184,2573824,0.9966431271135866,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,16384,131072,998048,3730560,0.2675330245325099,2723872,2732512,0.9968380742701222,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,16384,262144,998048,3730560,0.2675330245325099,2723872,2732512,0.9968380742701222,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,16384,524288,998048,3730560,0.2675330245325099,2723872,2732512,0.9968380742701222,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,16384,1048576,998048,3730560,0.2675330245325099,2723872,2732512,0.9968380742701222,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,32768,131072,1093056,3730560,0.2930005146680391,2628864,2637504,0.9967241755841887,0.9976839938239835,1024
