arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,8192,kh,16,0,0.000040
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,16384,kh,16,0,0.000040
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,32768,kh,16,0,0.000040
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,65536,kh,16,0,0.000040
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,8192,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,16384,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,32768,kh,16,0,0.000208
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,65536,kh,16,0,0.000208
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,8192,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,16384,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,32768,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,65536,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,8192,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,16384,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,32768,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,65536,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,8192,kw,16,0,0.000098
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,16384,kw,16,0,0.000098
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,32768,kw,16,0,0.000098
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,65536,kw,16,0,0.000098
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,8192,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,16384,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,32768,kw,16,0,0.001593
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,4,65536,kw,16,0,0.001593
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,8192,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,16384,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,32768,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,16,65536,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,8192,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,16384,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,32768,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,set_associative,32,65536,kw,16,0,0.000000
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,8192,cin,16,0,0.870145
spinalflow,resnet19_T4_all,layer_11_layer2_1_conv1,direct_mapped,0,16384,cin,16,0,0.870145
