_tag,_sample,_config,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R9,3,C4,w5b-R9-s3-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,778765,78954,699811,518368,1263264,0.410340,735680,744896,0.987628,4608,294912,0,0,0,0,0,10456626,553989,188409,11199024,11010615,11010615,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998379,0,0,0.006076,29.482990,1,1,1,4,8,8,0,0,4021056,5.163375,0.863424,630,844
R9,3,C5,w5b-R9-s3-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,10,0,50,1,1,1,1,non_inclusive,lru,810808,78954,731854,575639,1263264,0.455676,1120,1232,0.909091,18320,293120,0,0,315956,0,0,11295641,7504,92611,11711712,11619101,46909489,35290388,0.752308,1261216,104135,686393,0,470688,0,0,0,0,0.625782,0.998379,0,0,0.000000,27.216203,3,5,5,10,15,20,46,0,5399653,6.659595,1.706806,630,844
R9,3,C6,w5b-R9-s3-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,10,0,50,1,1,1,1,non_inclusive,lru,753458,78954,674504,612769,1263264,0.485068,1808,1872,0.965812,4608,294912,0,0,273764,0,0,10458593,4288,57467,10794112,10736645,39687507,28950862,0.729470,1261216,94401,648623,0,64472,453720,0,0,0,0.588178,0.998379,0,0,0.006076,25.746598,3,4,5,11,15,20,44,0,5287336,7.017426,1.596542,630,844
R9,4,C2,w5b-R9-s4-C2-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,958707,85106,873601,499440,1361696,0.366778,825824,862256,0.957748,18216,291456,0,0,0,0,0,11607311,2188564,183789,13979664,13795875,13795875,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.000000,31.661105,1,1,1,4,7,8,0,0,4466248,4.658616,1.009223,735,966
R9,4,C3,w5b-R9-s4-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,577468,85106,492362,903072,1361696,0.663196,422192,458624,0.920562,18216,291456,0,0,0,0,0,5551913,2186309,141618,7879840,7738222,7738222,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.000000,16.840176,1,1,1,4,8,8,0,0,3658984,6.336254,4.825132,735,966
R9,4,C4,w5b-R9-s4-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,799490,85106,714384,595984,1361696,0.437678,756496,765712,0.987964,4608,294912,0,0,0,0,0,10681433,553979,196780,11432192,11235412,11235412,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.011719,28.116114,1,1,1,4,8,8,0,0,4259552,5.327836,0.886545,735,966
R9,4,C5,w5b-R9-s4-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,10,0,50,1,1,1,1,non_inclusive,lru,878933,85106,793827,621920,1361696,0.456725,832,960,0.866667,18216,291456,0,0,340556,0,0,12267044,8576,87104,12703280,12616176,51120372,38504196,0.753206,1359648,122480,738816,0,498352,0,0,0,0,0.632517,0.998496,0,0,0.000000,27.163772,3,5,5,9,15,20,46,0,5835210,6.638970,1.754530,735,966
R9,4,C6,w5b-R9-s4-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,10,0,50,1,1,1,1,non_inclusive,lru,774146,85106,689040,700516,1361696,0.514444,1776,1840,0.965217,4608,294912,0,0,313920,0,0,10649915,4288,58565,11026688,10968123,39023601,28055478,0.718936,1359648,104532,659340,0,63445,532331,0,0,0,0.560971,0.998496,0,0,0.011719,24.277812,2,4,5,11,15,20,43,0,5624756,7.265756,1.664176,735,966
V8,0,C2,w5b-V8-s0-C2-split_cin,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,9090720,162352,8928368,186560,2597632,0.071819,37920,2411072,0.015727,2373152,37970432,0,0,0,0,0,399344,142424526,32066,142855936,142823870,142823870,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,46.409037,1,1,1,11,15,16,0,0,12390688,1.363004,3.173030,1226,1875
V8,0,C3,w5b-V8-s0-C3-block_pack,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,9032820,162352,8870468,113536,2597632,0.043707,145216,2484096,0.058458,2338880,37422080,0,0,0,0,0,1505938,140376728,46870,141929536,141882666,141882666,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,47.814625,1,1,1,11,15,16,0,0,12502464,1.384115,17.105186,1226,1875
