_tag,_sample,_config,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R9,2,C5,w5b-R9-s2-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,2,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,615057,68358,546699,573996,1093728,0.524807,928,1024,0.906250,16368,261888,0,0,346337,0,0,8303744,4992,94159,8749232,8655073,32921154,24266081,0.737097,1091680,90828,518708,0,482144,0,0,0,0,0.557301,0.998128,0,0,0.000000,19.007724,3,5,5,6,20,20,0,0,4516752,7.343632,1.412903,600,738
R9,2,C6,w5b-R9-s2-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,660131,68358,591773,518039,1093728,0.473645,1936,2000,0.968000,4608,294912,0,0,223681,0,0,9187511,3328,55896,9470416,9414520,35177090,25762570,0.732368,1091680,83191,573689,0,98147,336653,0,0,0,0.600588,0.998128,0,0,0.111979,21.054193,3,4,5,19,20,20,0,0,4601632,6.970786,1.366074,600,738
R9,3,C2,w5b-R9-s3-C2-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,838897,78954,759943,471504,1263264,0.373243,755120,791760,0.953723,18320,293120,0,0,0,0,0,10313556,1697352,150228,12161136,12010908,12010908,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998379,0,0,0.000000,25.070294,1,1,1,5,7,8,0,0,4128496,4.921338,0.917797,630,844
R9,3,C3,w5b-R9-s3-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,507586,78954,428632,822272,1263264,0.650911,404352,440992,0.916915,18320,293120,0,0,0,0,0,5067349,1666783,126028,6860160,6734132,6734132,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998379,0,0,0.000000,13.963574,1,1,1,5,8,8,0,0,3426960,6.751486,4.511180,630,844
R9,3,C4,w5b-R9-s3-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,761753,78954,682799,518368,1263264,0.410340,735680,744896,0.987628,4608,294912,0,0,0,0,0,10365522,422754,138556,10926832,10788276,10788276,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998379,0,0,0.006076,23.586392,1,1,1,5,8,8,0,0,4021056,5.278687,0.764601,630,844
R9,3,C5,w5b-R9-s3-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,796654,78954,717700,574440,1263264,0.454727,1120,1232,0.909091,18320,293120,0,0,315330,0,0,11082863,5824,81231,11485248,11404017,46048359,34644342,0.752347,1261216,102936,687592,0,470688,0,0,0,0,0.625782,0.998379,0,0,0.000000,21.810928,3,5,5,9,20,20,45,0,5390604,6.766556,1.612380,630,844
R9,3,C6,w5b-R9-s3-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,746665,78954,667711,613296,1263264,0.485485,1808,1872,0.965812,4608,294912,0,0,274646,0,0,10352820,3328,54630,10685424,10630794,39305621,28674827,0.729535,1261216,94928,648096,0,64284,453908,0,0,0,0.588178,0.998379,0,0,0.006076,20.580591,3,4,5,19,20,20,0,0,5282272,7.074487,1.526376,630,844
R9,4,C2,w5b-R9-s4-C2-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,907226,85106,822120,499440,1361696,0.366778,825827,862256,0.957752,18216,291456,0,0,0,0,0,11326560,1680757,148651,13155968,13007317,13007317,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.000000,25.328884,1,1,1,5,7,8,0,0,4466248,4.922972,1.004253,735,966
R9,4,C3,w5b-R9-s4-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,525847,85106,440741,903072,1361696,0.663196,422192,458624,0.920562,18216,291456,0,0,0,0,0,5274073,1656293,123538,7053904,6930366,6930366,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.000000,13.472141,1,1,1,5,8,8,0,0,3658984,6.958267,4.803228,735,966
R9,4,C4,w5b-R9-s4-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,782341,85106,697235,595984,1361696,0.437678,756496,765712,0.987964,4608,294912,0,0,0,0,0,10590377,423393,144038,11157808,11013770,11013770,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.011719,22.492891,1,1,1,5,8,8,0,0,4259552,5.444623,0.924706,735,966
R9,4,C5,w5b-R9-s4-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,865232,85106,780126,618954,1361696,0.454546,832,960,0.866667,18216,291456,0,0,337684,0,0,12062414,6656,77310,12484064,12406754,50243465,37836711,0.753067,1359648,119514,741782,0,498352,0,0,0,0,0.632517,0.998496,0,0,0.000000,21.818144,3,5,5,8,20,20,0,0,5825896,6.733334,1.664235,735,966
R9,4,C6,w5b-R9-s4-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,766920,85106,681814,701054,1361696,0.514839,1776,1840,0.965217,4608,294912,0,0,314469,0,0,10539466,3328,53809,10911072,10857263,38611557,27754294,0.718808,1359648,105070,658802,0,63203,532573,0,0,0,0.560971,0.998496,0,0,0.011719,19.406446,2,4,5,19,20,20,0,0,5619200,7.326970,1.558887,735,966
V8,0,C2,w5b-V8-s0-C2-split_cin,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,6853950,162352,6691598,186560,2597632,0.071819,37920,2411072,0.015727,2373152,37970432,0,0,0,0,0,205698,106820884,41034,107067616,107026582,107026582,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,37.127230,1,1,1,13,15,16,0,0,12390688,1.807817,3.240605,1226,1875
V8,0,C3,w5b-V8-s0-C3-block_pack,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,6795972,162352,6633620,113536,2597632,0.043707,145216,2484096,0.058458,2338880,37422080,0,0,0,0,0,774338,105292150,73480,106139968,106066488,106066488,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,38.251700,1,1,1,13,15,16,0,0,12502464,1.839687,16.934563,1226,1875
